Port_IDs,PnL,total_investment,ROI,Sharpe_Ratio,MDD,Win_Rate,win_positions,total_positions,Rank
3977234346014419201,2427.29283086,5.733559,42334.83654498018,0.38571516820317975,0.0,39.75903614457831,33,83,1.0
4023697433751327232,2408.22399998,5.92988,40611.681854944785,0.29799454461597613,0.0,9.523809523809524,4,42,2.0
3983074113875692800,2424.82951996,6.3579099999999995,38138.78334169563,0.3561641840753083,0.0,32.55813953488372,14,43,3.0
4004713168329653760,1667.19861,4.42237,37699.21128263805,0.27752014028205985,0.0,7.4074074074074066,2,27,4.0
4029506971304830209,2413.6540000200002,7.26506,33222.76760302049,0.24448259118751733,-9.403225262534761,5.769230769230769,3,52,5.0
4030708912786799105,1612.84376999,8.72972,18475.32074327699,0.18394113302831927,0.0,3.3333333333333335,2,60,6.0
4023697881318718465,3151.95061998,21.38763,14737.259902008776,0.2441133442923824,0.0,8.571428571428571,6,70,7.0
4029507714735307777,1537.89995998,22.939819999999997,6704.062891426349,0.1634273916407873,0.0,3.7735849056603774,2,53,8.0
3891020560590657281,2856.30056379,191.7739046,1489.4104439014482,0.2644330080608566,0.0,64.75972540045767,283,437,9.0
4039279455324236544,1038.80741926,147.50768,704.2395482458948,0.3847484289325842,0.0,55.35168195718655,181,327,10.0
4034786679304751616,2521.07586938,482.09927,522.9370850074093,0.3468668689526202,0.0,38.31775700934579,123,321,11.0
4035034554469394176,2517.32079973,1404.7641,179.19882774125563,0.08174487481523926,-290.2363010279944,16.70886075949367,66,395,12.0
4030392204221219329,1347.75800996,890.17978,151.40290087919092,0.10907277198245438,0.0,9.411764705882353,8,85,13.0
3999240873283311617,42574.47367879,39142.5193061,108.76784231963106,0.1323588066258308,-4.832881312509926,52.32198142414861,2366,4522,14.0
4038768306117031680,1741.91425988,1737.31672,100.26463452674305,0.17055462372091773,0.0,22.0,22,100,15.0
4037785885739608577,1934.5792352600001,2347.0482922,82.42605155118589,0.24312907734134268,0.0,23.228346456692915,59,254,16.0
4039129759104249600,1264.28919972,1854.3772,68.17864238839864,0.37298303657278603,0.0,44.3609022556391,59,133,17.0
4037717032428033792,1897.3229995,2926.8343,64.825091037781,0.1659846949363801,0.0,32.17665615141956,102,317,18.0
4031408429897920512,1351.26659997,2147.396,62.925822715977866,0.15666889664805525,0.0,4.878048780487805,4,82,19.0
4029749871687083265,3662.13654822,7241.6176000000005,50.570697743277684,0.35435000648452325,0.0,42.873831775700936,367,856,20.0
